make;model;body;transmission;color;condition;odometer;price
11;30;2;1;2;4.6;42006;11300
11;46;2;1;3;4.1;7755;36000
11;30;2;1;5;4.9;41481;11500
13;42;9;1;3;3.9;22828;24500
13;42;9;1;13;4.2;19729;24500
11;49;6;1;5;4.6;27387;11400
13;42;9;1;1;3.9;23097;21250
13;42;9;1;3;4.5;9373;26250
13;42;9;1;5;4.9;15802;25000
13;42;9;1;3;4.5;27333;24500
11;48;2;1;1;4.9;8495;16100
11;47;2;1;5;4.3;22033;13700
13;42;9;1;3;4.4;20263;26000
13;42;9;1;3;4.2;28694;21500
13;42;9;1;2;4.4;30464;24000
13;42;9;1;1;4.6;10610;23500
11;30;2;1;4;3.1;13505;13800
13;42;9;1;1;4.4;19573;22000
11;50;6;1;9;4.8;27532;11300
11;30;2;1;2;2;33158;9400
11;47;2;1;1;4.4;36991;13400
11;47;2;1;4;2;35518;10700
11;44;1;1;8;5;15160;22200
13;42;9;1;3;3.7;20202;21750
11;54;12;1;4;4.8;12730;23000
11;48;2;1;3;4.7;11798;18400
11;44;1;1;10;4.3;41783;17400
11;45;2;1;5;4.4;35995;27200
13;42;9;1;1;4.6;17541;24750
11;47;2;1;5;3.8;40322;12300
11;47;2;1;3;3.8;47516;11700
11;49;6;2;10;4.7;15813;9500
13;42;9;1;3;4.2;23470;24500
13;42;9;1;2;4.3;29782;21500
13;42;9;1;8;3.9;10993;24250
13;42;9;1;2;4.5;18921;21750
11;53;1;1;1;4.4;32413;17500
11;48;2;1;5;5;20;19900
13;42;9;1;1;4.4;32437;20500
11;30;2;1;2;3.5;38388;11700
11;30;2;1;3;4;21579;12600
13;42;9;1;3;4.1;17672;21500
11;48;2;1;3;4.5;13162;18600
13;41;8;1;13;4.1;13002;26500
13;42;9;1;3;3.7;16486;24000
13;42;9;1;1;4.3;11596;26000
13;42;9;1;8;4.2;16153;24000
13;42;9;1;8;4.4;9785;23000
11;30;2;1;1;3.7;13871;15900
13;41;8;1;2;3.6;26843;24250
13;41;8;1;2;3.7;18548;25000
13;42;9;1;1;4.2;25016;24750
11;45;2;1;3;4.3;11041;12500
13;42;9;1;3;4.4;9535;25000
11;47;2;1;1;2.5;40045;12300
13;42;9;1;1;4.5;23481;25750
11;47;2;1;8;3.3;37499;12400
13;42;9;1;2;4.3;13273;25750
11;47;2;1;8;3;37060;10100
11;44;1;1;5;5;66;20800
11;49;2;1;11;2;35828;6700
13;42;9;1;2;4.2;20408;24000
11;47;2;1;13;3.9;36564;12400
13;42;9;1;2;4.4;16833;24750
11;30;2;1;5;3.6;40079;11300
13;41;8;1;2;4.5;16219;26500
13;42;9;1;2;4.2;20070;22000
13;42;9;1;2;3.9;13632;22000
13;41;8;1;1;3.9;6802;23250
13;42;9;1;1;4.2;20432;24250
11;30;2;1;6;1;24120;5200
13;42;9;1;13;4.7;17203;24750
11;47;2;1;8;4.8;10241;16900
11;30;2;1;2;1;41710;7700
11;47;2;1;1;3.9;25895;12900
14;55;1;2;4;4.7;9153;35250
1;11;2;1;1;4.4;16045;16800
4;5;2;1;4;3.6;37136;13800
15;56;2;1;3;3.6;4811;45500
4;5;2;1;3;3.2;62381;11900
10;57;2;1;1;3.6;39590;32100
16;58;1;1;5;3.9;36071;15000
1;11;2;1;3;4.6;11757;16500
15;59;4;1;13;4.2;20705;25750
1;11;2;1;3;4.4;24131;21250
4;5;2;1;3;2;38766;12100
4;5;2;1;5;4.4;44303;13000
13;42;9;1;2;3.6;36931;22250
4;5;2;1;5;4.3;38974;13600
14;55;1;1;3;3.1;41173;27000
17;60;6;1;3;2;24252;9100
4;5;2;1;4;4;37020;13600
1;61;2;1;5;2.8;31406;8900
15;59;2;1;1;4.5;20161;25000
1;11;2;1;3;2.2;14061;11700
4;5;2;1;3;3.7;47601;12200
17;60;6;1;4;3.5;44392;8500
13;62;2;1;13;4.6;10808;33500
1;11;2;1;3;4.2;19543;16100
4;63;3;1;5;4.3;445;28750
1;1;1;1;5;4.4;48050;12750
1;61;2;1;3;4;36667;9800
1;64;5;2;5;1;11699;6900
16;65;1;1;8;2.7;37713;14000
15;59;2;1;3;2.8;31978;21000
15;66;3;1;3;4.4;8470;37000
10;67;2;1;2;3.8;24478;27750
15;68;2;1;3;2.5;4995;31750
17;70;2;1;2;3.6;54715;10600
18;69;6;1;10;3.7;36498;13600
18;69;6;1;8;2.8;7273;15000
17;71;1;1;4;3.8;46733;20500
13;42;9;1;2;4;33838;20250
4;5;4;1;3;1;33985;8000
1;72;2;1;3;4.3;54978;9200
17;71;1;1;2;3.6;44289;20000
1;1;1;1;12;4.7;20209;21500
4;5;2;1;4;3.5;38688;13500
4;5;2;1;12;3.3;40931;13500
4;5;2;1;5;4.1;39364;13500
14;73;1;1;1;4.1;32090;13900
4;63;4;1;3;3.8;10506;21500
4;5;4;1;2;4.4;10510;15500
17;70;2;1;3;3;47917;9600
13;74;1;1;2;3.7;37738;32250
13;42;9;1;2;4.3;19683;26000
13;42;9;1;1;4.4;37527;23000
1;11;2;1;3;4.2;14012;22200
4;5;2;1;1;3.9;37395;13400
1;61;6;2;4;4.6;4668;14200
4;5;2;1;3;3.5;35900;13500
4;5;2;1;1;3.8;38395;13100
19;75;1;1;2;4.4;2059;42000
1;11;2;1;12;2;24614;10600
17;76;11;1;4;3.5;39272;12400
1;61;6;1;4;2;4850;6300
4;5;2;1;1;4.5;48463;14000
13;42;9;1;2;3.8;23642;23000
17;70;2;1;3;2;45649;10000
13;41;8;1;2;3.5;10055;27000
13;62;2;1;1;4.1;9338;34500
1;72;2;1;2;2.7;55885;8800
17;71;1;1;2;2.9;41807;19900
4;5;4;1;2;3.5;42938;13300
1;11;2;1;1;4.9;19078;16500
18;69;6;1;10;3.5;36000;13700
17;76;11;1;2;2.9;40275;12200
10;57;2;1;7;3.4;17786;33000
1;61;2;1;3;2;45800;3850
19;77;1;1;8;4.8;25524;35500
4;5;2;1;2;4.4;45685;13200
13;42;9;1;3;4.4;48156;22250
1;61;2;2;1;1.9;22658;5500
1;61;2;1;1;2.6;13508;7500
14;73;1;1;4;2.7;31688;13000
16;58;1;1;2;3.5;39473;14700
13;42;9;2;2;4.3;21898;26250
15;59;4;1;2;3.5;10782;26000
13;41;8;1;13;4.2;46120;23500
10;78;2;1;11;4.9;71;64000
15;56;2;1;3;4.4;14557;51500
1;11;2;1;2;4.4;18554;15700
16;58;1;1;5;3.8;36990;14800
15;79;1;1;2;3.4;21052;25500
4;5;2;1;2;2.4;35591;12700
